5180,5220,5489,5190,7797,6126,6435,6423,6252,6225,6355,7351,6079,5889,6305,5462,
5198,5212,5481,5198,7794,6111,6422,6415,6241,6227,6338,7314,6051,5865,6267,5460,
5199,5224,5488,5173,7787,6114,6418,6411,6231,6218,6266,7338,6047,5860,6282,5449,
5197,5207,5489,5194,7789,6120,6404,6402,6233,6215,6333,7338,6055,5867,6294,5466,
5215,5234,5491,5205,7819,6138,6428,6407,6243,6220,6361,7361,6055,5875,6303,5483,
5215,5248,5506,5216,7858,6126,6416,6411,6243,6214,6360,7355,6062,5882,6297,5472,
5208,5256,5510,5215,7871,6134,6423,6400,6225,6224,6282,7371,6069,5892,6315,5461,
5218,5259,5527,5245,7888,6144,6411,6391,6211,6237,6389,7879,6170,5888,6344,6552,
5215,5295,5512,5207,7878,6147,6414,6355,6183,6219,6360,7870,6172,5898,6944,6862,
5223,5351,5567,6561,8048,6174,6464,6355,6166,6234,6530,7417,6055,5998,6363,6485,
5312,6112,5616,6624,8076,6168,6482,6365,6193,6222,6486,7441,6240,6053,7046,5824,
5316,6074,5566,5278,7903,6153,6474,6358,6171,6232,6579,7432,6167,6060,7049,6929,
5331,6072,5576,6803,8151,6174,6480,6361,6227,6224,6522,7904,6182,6036,7085,5853,
5310,6103,5642,6561,8021,6160,6498,6360,6209,6224,6502,7894,6149,6208,6612,5862,
5310,5823,5679,6414,8053,6166,6496,6386,6243,6236,6567,7918,6113,6090,7068,5830,
5320,6045,5633,5434,8100,6152,6503,6401,6265,6233,6571,7890,6149,5973,6664,6774,
5322,6104,5684,6659,8105,6128,6498,6405,6278,6214,6549,7518,6159,6050,6935,6750,
5299,6066,5605,5369,8054,6172,6478,6386,6276,6244,6512,7916,6151,6056,7105,6257,
5254,5385,5638,6634,8060,6180,6486,6378,6264,6221,6545,7880,6147,6041,7084,5974,
5263,5378,5567,5291,8021,6171,6491,6365,6222,6242,6422,7434,6071,5956,6690,6926,
5267,5409,5571,5991,7881,6163,6502,6368,6218,6234,6583,7466,6243,5986,6942,6986,
5282,5432,5572,5269,7891,6150,6502,6369,6192,6229,6461,7425,6150,5968,7051,5507,
5273,5432,5565,5300,7893,6149,6495,6349,6146,6220,6532,7406,6132,5953,7033,6358,
5253,5439,5628,5568,7889,6156,6510,6368,6193,6232,6484,7427,6151,6036,7078,6862,
5278,5408,5603,5268,7890,6138,6509,6385,6165,6241,6642,7794,6302,5994,6833,6837,
5288,5402,5635,5335,7925,6173,6503,6380,6166,6236,6554,7453,6134,5989,6974,6767,
